ei_1,ei_2,ei_3,ei_4,ei_5,D_star,Ar_i
0.0,0.06393207107938308,0.9360679289206165,0.0,0.0,3.0,0.92
0.0,0.11565090457186969,0.8781805621973127,0.006168533230816922,0.0,3.0,0.75
0.0,0.06328514300397921,0.9185472792766298,0.01816757771939056,0.0,3.0,0.75
0.0,0.03210216646543761,0.9642596295845403,0.0036382039500226933,0.0,3.0,0.92
0.0,0.0412080703121169,0.9587919296878824,0.0,0.0,3.0,0.62
0.0,0.02115945216764206,0.9372837222012401,0.04155682563111756,0.0,3.0,0.62
0.0,0.01084041947705496,0.9650501045141902,0.02410947600875461,0.0,3.0,0.75
0.0,0.006557095876048051,0.9610020043716235,0.0324408997523285,0.0,3.0,0.92
0.0,0.059694056429028884,0.8686347928871633,0.07167115068380747,0.0,3.0,0.92
0.0,0.060766569676756234,0.880734540138738,0.05849889018450585,0.0,3.0,0.75
0.0,0.010764989453090705,0.9826814664544995,0.006553544092410506,0.0,3.0,0.92
0.0,0.045953588809317734,0.896113213154486,0.05793319803619519,0.0,3.0,0.75
0.0,0.01336405436764299,0.9421191044041038,0.04451684122825286,0.0,3.0,0.92
0.0,0.008740131368960024,0.99125986863104,0.0,0.0,3.0,1.0
0.0,0.014636191222264625,0.9847134298516804,0.0006503789260549908,0.0,3.0,1.0
0.0,0.002403153368976934,0.9974617685362014,0.00013507809482138385,0.0,3.0,1.0
0.0,0.09972849823139317,0.9002715017686062,0.0,0.0,3.0,0.75
0.0,0.06842573976059757,0.930303387219612,0.0012708730197907411,0.0,3.0,0.75
0.0,0.07338202047908761,0.9266179795209128,0.0,0.0,3.0,0.88
0.0,0.07567647272029494,0.9243235272797061,0.0,0.0,3.0,0.87
0.0,0.013187815049377596,0.9849140908540112,0.001898094096610459,0.0,3.0,0.88
0.0,0.014598608626181618,0.9599613767453613,0.025440014628456718,0.0,3.0,0.87
0.0,0.11473922514462283,0.8852607748553779,0.0,0.0,3.0,0.87
0.0,0.03539968118919452,0.9646003188108054,0.0,0.0,3.0,0.87
0.0,0.017870657095534825,0.9821293429044656,0.0,0.0,3.0,0.87
0.0,0.0866400707650355,0.9133599292349652,0.0,0.0,3.0,0.87
0.0,0.0963809355769324,0.9036190644230667,0.0,0.0,3.0,1.0
0.0,0.04757759375545928,0.9524224062445407,0.0,0.0,3.0,1.0
0.0,0.12566371353209288,0.8743362864679072,0.0,0.0,3.0,0.75
0.0,0.13002865350627066,0.8699713464937292,0.0,0.0,3.0,0.8300000000000001
0.0,0.07304868227777082,0.9269513177222294,0.0,0.0,3.0,0.75
0.0,0.014469466008019528,0.9831388254230706,0.0023917085689100287,0.0,3.0,0.8300000000000001
0.0,0.007261419996809626,0.9921665674856046,0.0005720125175854283,0.0,3.0,0.8300000000000001
0.0,0.030112932515953643,0.9698870674840467,0.0,0.0,3.0,0.5
0.0,0.01984301700410505,0.9775461036785861,0.0026108793173095315,0.0,3.0,0.9199999999999999
0.0,0.0625560449885598,0.910712063613375,0.026731891398065158,0.0,3.0,0.9199999999999999
0.0,0.08223609661700708,0.9177639033829926,0.0,0.0,3.0,0.75
0.0,0.09592629428432849,0.9040737057156716,0.0,0.0,3.0,0.75
0.0,0.04540581669876108,0.9545941833012391,0.0,0.0,3.0,0.75
0.047037151180767504,0.48620439274667654,0.466758456072555,0.0,0.0,2.0,0.75
0.0,0.027160499020215483,0.9495539102328997,0.023285590746884906,0.0,3.0,0.75
0.0,0.09592629428432849,0.9040737057156716,0.0,0.0,3.0,0.75
0.0,0.02276057832372809,0.9772394216762718,0.0,0.0,3.0,0.75
